Name	Set	Imagefile	Number	Type	Affiliation	Offense	Cost	Ilustrador	Skills	Bloque	Edicion	Rework
Rey Arturo Pendragon	espada_sagrada	1	1	Aliado	Caballero	2	5	WALDO RETAMALES	Solo puedes tener en juego a un Rey Arturo Pendragón. Mientras esté en juego, tus Caballeros ganan + 1 a la fuerza y tu oponente bota 2 cartas en cada fase de agrupación. En respuesta a que sea destruido, puedes descartar 2 para salvarlo.	Primer Bloque	Espada Sagrada	
Reina Guinivere	espada_sagrada	2	2	Aliado	Caballero	2	4	ANDRÉS SILVA	Cuando Reina Guinivere entra en juego, puedes buscar un Caballero en tu mazo castillo y ponerlo en tu mano. En tu fase de vigilia, genera 2 para bajar armas o 1 para bajar Caballeros.	Primer Bloque	Espada Sagrada	
Sir Lancelot	espada_sagrada	3	3	Aliado	Caballero	1	4	WALDO RETAMALES	Sir Lancelot no puede ser afectado por Talismanes. No tiene límite de armas. Por cada arma que porte, gana + 2 a la fuerza.	Primer Bloque	Espada Sagrada	
Sir Gawein	espada_sagrada	4	4	Aliado	Caballero	2	3	WALDO RETAMALES	En guerra de Talismanes, destierra a Sir Gawein para que no se puedan jugar Talismanes hasta el final del turno.	Primer Bloque	Espada Sagrada	
Sir Persival	espada_sagrada	5	5	Aliado	Caballero	2	3	WALDO RETAMALES	Cuando Sir Pérsival entra en juego, baraja un Aliado oponente.	Primer Bloque	Espada Sagrada	
Sir Tristan	espada_sagrada	6	6	Aliado	Caballero	1	3	ANDRÉS SILVA	Cuando Sir Tristán entra en juego, busca una carta en tu cementerio y pónla en tu mano.	Primer Bloque	Espada Sagrada	
Sir Galahad	espada_sagrada	7	7	Aliado	Caballero	2	3	GABRIEL RODRÍGUEZ	Sir Galahad puede atacar cuando entra en juego. Si hace daño al mazo castillo oponente, descártale 1 al azar.	Primer Bloque	Espada Sagrada	
Principe Valiant	espada_sagrada	8	8	Aliado	Caballero	2	4	JUAN VÁSQUEZ	En guerra de Talismanes, puedes destruir Príncipe Valiant para que tus Caballeros sean imbloqueables hasta el final del turno.	Primer Bloque	Espada Sagrada	
Lady Dawn	espada_sagrada	9	9	Aliado	Caballero	1	4	JUAN VÁSQUEZ	En respuesta a que uno de tus Caballeros sea destruido, puedes pagar 3 de oro o destruir a Lady Dawn para salvarlo.	Primer Bloque	Espada Sagrada	
El Obispo de Londinium	espada_sagrada	10	10	Aliado	Caballero	2	4	ABBAY	Cuando El Obispo De Londinium entra en juego, tu oponente bota 3 cartas.	Primer Bloque	Espada Sagrada	
Sir Boores	espada_sagrada	11	11	Aliado	Caballero	2	5	GABRIEL RODRÍGUEZ	Tus Caballeros ganan + 2 a la fuerza, mientras Sir Boores esté en juego.	Primer Bloque	Espada Sagrada	
Cornielus de York	espada_sagrada	12	12	Aliado	Caballero	3	5	MAURICIO HERRERA	En guerra de Talismanes, puedes desterrar a Cornelius de York para destruir un Caballero oponente de igual o menor fuerza.	Primer Bloque	Espada Sagrada	
Josofones	espada_sagrada	13	13	Aliado	Caballero	1	3	GABRIEL RODRÍGUEZ	Cuando Josofones entra en juego, puedes buscar en tu mazo castillo a Sir Boores y ponerlo en tu mano. Al final del turno, no puedes robar.	Primer Bloque	Espada Sagrada	
Sir Bedivere	espada_sagrada	14	14	Aliado	Caballero	2	4	GABRIEL RODRÍGUEZ	Mientras Sir Bedivere esté en juego, en tu fase de vigilia y una vez por turno, puedes nombrar un Aliado, si tu oponente lo tiene en su mano, lo bajas a tu línea de defensa sin pagar su coste. Se considera uno de tus Aliados hasta el final del juego.	Primer Bloque	Espada Sagrada	
El Gran Wyrm	espada_sagrada	15	15	Aliado	Dragon	4	6	MAURICIO HERRERA	Sólo puedes tener en juego a un El Gran Wyrm. Mientras esté en juego, tus demás Dragones ganan + 1 a la fuerza y pueden atacar cuando entran en juego.	Primer Bloque	Espada Sagrada	
Dragon de Magma	espada_sagrada	16	16	Aliado	Dragon	3	4	MAURICIO HERRERA	Cuando Dragón de Magma entra en juego, destruye un Aliado oponente.	Primer Bloque	Espada Sagrada	
Dragon de Eter	espada_sagrada	17	17	Aliado	Dragon	3	4	MAURICIO HERRERA	Cuando Dragón de Eter es declarado atacante, todos los Aliados oponentes ganan - 1 a la fuerza hasta el final del turno.	Primer Bloque	Espada Sagrada	
Dragon Demonio	espada_sagrada	18	18	Aliado	Dragon	5	0	MAURICIO HERRERA	Dragón Demonio debe atacar cuando entra en juego. No puede ser afectado por Talismanes. Al final de esté turno, destiérralo. Carta única.	Primer Bloque	Espada Sagrada	
Dragon de Luz	espada_sagrada	19	19	Aliado	Dragon	3	5	MAURICIO HERRERA	Si Dragón de Luz no es declarado atacante, puedes tomar las 3 cartas superiores de tu cementerio y barajarlas con tu mazo castillo.	Primer Bloque	Espada Sagrada	
Dragon de Aire	espada_sagrada	20	20	Aliado	Dragon	4	4	CARLOS HERRERA	Dragón del Aire puede atacar cuando entra en juego.	Primer Bloque	Espada Sagrada	
Dragon de Agua	espada_sagrada	21	21	Aliado	Dragon	5	5	ANDRÉS SILVA	Cuando Dragón del Agua entra en juego, los Dragones no pueden ser afectados por Talismanes hasta el final del turno.	Primer Bloque	Espada Sagrada	
Dragon de Plata	espada_sagrada	22	22	Aliado	Dragon	3	6	WALDO RETAMALES	Mientras Dragón de Plata esté en juego: en tu fase de vigilia, puedes eligir entre pagar 1 de oro para robar 1 carta; pagar 2 de oro para descartar 1 de tu oponente al azar; o pagar 3 de oro para que tu oponente bote 2 cartas.	Primer Bloque	Espada Sagrada	
